자격구분코드,자격구분명,계열명,종목명,설명
S,국가전문자격,정수시설운영관리사,정수시설운영관리사3급,"수도시설의 운영·관리 업무를 수행하기 위한 국가전문자격으로, 수돗물 공급·수질관리·설비 유지보수 등 정수장 현장 운전 업무에 종사하는 입문 수준의 전문인력을 검증한다."
S,국가전문자격,정수시설운영관리사,정수시설운영관리사2급,"수도시설의 운영·관리 업무를 수행하기 위한 국가전문자격으로, 중형 정수시설의 수질관리·설비 운영 및 하위 운전원 지도 업무를 담당하는 중급 전문인력을 검증한다."
S,국가전문자격,정수시설운영관리사,정수시설운영관리사1급,"수도시설의 운영·관리 업무를 수행하기 위한 국가전문자격으로, 대형 정수장의 수질 관리 총괄·시설 운영 기획·직원 교육 등 최고 수준의 상수도 전문인력을 검증한다."
S,국가전문자격,변리사,변리사,특허·실용신안·상표·디자인 등 지식재산권에 관한 출원·심사·심판 절차를 대리하고 관련 법률 사무를 처리하는 전문 자격사를 검증하는 국가전문자격이다.
S,국가전문자격,방사성동위원소취급자일반면허,방사성동위원소취급자일반면허,"방사성동위원소 및 방사선 발생 장치를 안전하게 취급·사용하기 위한 국가전문면허로, 방사선 안전관리 기초 역량과 방호 지식을 보유한 일반 취급 인력을 검증한다."
S,국가전문자격,농산물품질관리사,농산물품질관리사,농산물의 등급 판정·출하 시기 조절·저장 관리·유통 개선 업무를 수행하며 소비자에게 안전하고 고품질의 농산물을 공급하기 위한 전문인력을 검증하는 국가전문자격이다.
S,국가전문자격,소방시설관리사,소방시설관리사,"소방 시설의 점검·정비 및 화재안전관리 업무를 전문적으로 수행하며, 소방 시설물의 작동 적합성 점검과 유지관리 역량을 갖춘 전문인력을 검증하는 국가전문자격이다."
S,국가전문자격,소방안전교육사,소방안전교육사,"학교·기관·사업장 등에서 소방안전 교육을 기획·진행하는 전문 교육인력을 검증하는 국가전문자격으로, 화재 예방 교육 및 피난 훈련 기획·운영 역량을 평가한다."
S,국가전문자격,기술지도사,기술지도사(1차공통),"중소기업의 경영혁신 및 기술 발전을 지원하는 기술지도사 자격의 1차 공통과목으로, 경영·기술 전반에 걸친 지도 기초 역량을 검증하는 국가전문자격이다."
S,국가전문자격,방사성동위원소취급자특수면허,방사성동위원소취급자특수면허,핵의학·방사선 치료 등 고선량 방사성동위원소를 취급하는 특수 분야에서 요구되는 고급 방사선 안전관리 역량을 검증하는 국가전문면허이다.
S,국가전문자격,방사선취급감독자면허,방사선취급감독자면허,"방사선 작업 종사자를 지도·감독하고 방사선 안전관리를 총괄하는 관리자급 역량을 검증하는 국가전문면허로, 방사선 관리구역 운영 및 종사자 교육 책임 능력을 평가한다."
S,국가전문자격,감정평가사,감정평가사,"부동산·동산·권리 등 유·무형 자산의 경제적 가치를 객관적으로 산정·평가하는 전문 자격사를 검증하는 국가전문자격으로, 공시지가 조사·보상 평가·담보 평가 등의 업무를 수행한다."
T,국가기술자격,기능사,환경기능사,대기·수질·토양 오염 측정 및 환경오염 방지시설 운영·관리에 필요한 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,콘크리트기능사,콘크리트의 배합 설계·타설·양생·거푸집 조립 등 콘크리트 시공 현장에서 요구되는 기초 실무 능력을 검증하는 국가기술자격이다.
T,국가기술자격,기능사,자기비파괴검사기능사,자기탐상법을 이용하여 금속 재료나 용접부의 결함을 파괴하지 않고 탐지·평가하는 비파괴검사 기초 실무 능력을 검증하는 국가기술자격이다.
