소관 부처,자격종목,등급,자격관리자,공인유효기간(시작),공인유효기간(만료),기공인기간(시작),기공인기간(만료),설명
식품의약품안전처,의료기기 RA전문가,2급,한국의료기기안전정보원,2024-01-01,2028-12-31,2019-01-01,2023-12-31,의료기기 RA 전문가 자격기준을 제시하고 실무능력을 검증하여 신뢰성 있는 인재 배출
과학기술정보통신부,e-Test Professionals,"1급, 2급, 3급, 4급",(사)한국창의인성교육연구원,2023-02-17,2027-02-16,2001-01-12,2023-02-16,"컴퓨터 활용 능력(한글, 엑셀, 파워포인트 등 오피스 도구)과 정보기술(IT) 활용 역량을 종합 평가하는 국가공인 민간자격으로, 실무 문서 작성·스프레드시트·프레젠테이션 능력을 1∼4급으로 검증한다."
과학기술정보통신부,PC활용능력평가시험(PCT),"A급, B급",(주)피씨티,2025-02-17,2026-02-16,2001-01-12,2025-02-16,"PC의 OA 소프트웨어를 활용하여 일반 사무 업무상 필요한 다양한 문서를 효율적으로 작성하며, 각종 정보 및 데이터들을 사무 업무상 필요에 맞도록 신속하고 정확하게 분석, 가공하여 업무의 생산성 향상"
과학기술정보통신부,리눅스마스터,"1급, 2급",(사)한국정보통신진흥협회,2023-01-15,2027-01-14,2005-01-15,2023-01-14,리눅스 기반의 Desktop 활용 및 Server 운영 능력과 리눅스 시스템의 설계 개발 및 관리 능력과 리눅스 기반의 네트워크 및 서버 구축/운영 능력을 검정하는 자격증
과학기술정보통신부,디지털정보활용능력(DIAT),"초급, 중급, 고급",(사)한국정보통신진흥협회,2021-02-17,2026-02-16,2003-02-17,2021-02-16,"정보통신기술(ICT)과 디지털 기기를 업무에 활용하는 능력을 초·중·고급으로 평가하는 국가공인 민간자격으로, 워드프로세서·스프레드시트·프레젠테이션·인터넷 활용 등의 실무 능력을 검증한다."
과학기술정보통신부,네트워크관리사,2급,(사)한국정보통신자격협회,2024-01-20,2029-01-19,2002-01-20,2024-01-19,서버를 구축하고 보안 설정하고 시스템 최적화 등 네트워크구축 및 이를 효과적으로 관리할 수 있는 인터넷 관련 기술력에 대한 자격
과학기술정보통신부,정보기술자격(ITQ)시험,"A급, B급, C급",한국생산성본부,2021-01-20,2026-01-19,2002-01-11,2021-01-19,"MS Office(엑셀·파워포인트·워드) 및 한글 오피스 프로그램 활용 능력을 A·B·C급으로 평가하는 국가공인 민간자격으로, 실무에서 요구되는 정보 처리 및 문서 작성 능력을 종합 검증한다."
과학기술정보통신부,데이터아키텍처,전문가,(재)한국데이터산업진흥원,2024-01-01,2027-12-31,2008-01-01,2023-12-31,"데이터베이스 구조 설계·데이터 모델링·데이터 표준화 및 데이터 자원 관리에 관한 전문 역량을 검증하는 국가공인 민간자격으로, 기업 데이터 아키텍처를 설계·관리하는 전문가(DA Specialist) 수준을 평가한다."
과학기술정보통신부,SQL,"전문가, 개발자",(재)한국데이터산업진흥원,2023-01-01,2027-12-31,2013-01-01,2022-12-31,관계형 데이터베이스의 데이터 정의·조작·제어를 위한 SQL 쿼리 작성 능력과 데이터베이스 관리 역량을 전문가·개발자 등급으로 검증하는 국가공인 민간자격이다.
과학기술정보통신부,ERP물류정보관리사,"1급, 2급",한국생산성본부,2023-01-01,2026-12-31,2009-09-30,2022-12-31,전사적 자원 관리(ERP) 시스템을 활용하여 구매·재고·판매·배송 등 물류 정보를 효율적으로 관리하는 역량을 1·2급으로 검증하는 국가공인 민간자격이다.
과학기술정보통신부,ERP생산정보관리사,"1급, 2급",한국생산성본부,2023-01-01,2026-12-31,2009-09-30,2022-12-31,전사적 자원 관리(ERP) 시스템을 활용하여 생산 계획·자재 관리·품질 관리 등 제조 공정 정보를 효율적으로 관리하는 역량을 1·2급으로 검증하는 국가공인 민간자격이다.
과학기술정보통신부,ERP인사정보관리사,"1급, 2급",한국생산성본부,2023-01-01,2026-12-31,2009-09-30,2022-12-31,전사적 자원 관리(ERP) 시스템을 활용하여 채용·급여·근태·교육 등 인적 자원 정보를 효율적으로 관리하는 역량을 1·2급으로 검증하는 국가공인 민간자격이다.
과학기술정보통신부,ERP회계정보관리사,"1급, 2급",한국생산성본부,2023-01-01,2026-12-31,2009-09-30,2022-12-31,전사적 자원 관리(ERP) 시스템을 활용하여 재무 회계·원가 회계·세무 등 회계 정보를 효율적으로 관리하는 역량을 1·2급으로 검증하는 국가공인 민간자격이다.
